id,estado,numero_radicado,numero_caso,fecha_registro,caso_gratuito,asunto_juridico_definible,fecha_finalizacion,expediente_pre_cerrado,expediente_cerrado,area_id_id,inicio_conflicto_id_id,solicitante_servicio_id_id,subtema_id_id,tipo_servicio_id_id,estado_expediente_id_id,Finalidad_servicio_id_id,identificador_sicaac
10,1,,2022-001,2022-11-29,1,0,,0,0,,,,,,1,,1
11,1,,2022-002,2022-11-29,1,0,,0,0,,,,,,2,,1
12,1,,2022-003,2022-11-29,1,0,,0,0,,,,,,3,,1
13,1,,2022-004,2022-11-29,1,0,,0,0,,,,,,4,,1
14,1,,2022-005,2022-11-29,1,0,,0,0,,,,,,5,,1
15,1,,2022-006,2022-11-29,1,0,,0,0,,,,,,6,,1
16,1,,2022-007,2022-11-29,1,0,,0,0,,,,,,7,,1
17,1,,2022-008,2022-11-29,1,0,,0,0,,,,,,8,,1
18,1,,2022-009,2022-11-29,1,0,,0,0,,,,,,9,,1
19,1,,2022-010,2022-11-29,1,0,,0,0,,,,,,1,,1
20,1,,2022-011,2022-11-29,1,0,,0,0,,,,,,2,,1
21,1,,2022-012,2022-11-29,1,0,,0,0,,,,,,3,,1
22,1,,2022-013,2022-11-29,1,0,,0,0,,,,,,4,,1
23,1,,2022-014,2022-11-29,1,0,,0,0,,,,,,5,,1
24,1,,2022-015,2022-11-29,1,0,,0,0,,,,,,6,,1
25,1,,2022-016,2022-11-29,1,0,,0,0,,,,,,7,,1
26,1,,2022-017,2022-11-29,1,0,,0,0,,,,,,8,,1
27,1,,2022-018,2022-11-29,1,0,,0,0,,,,,,9,,1
28,1,,2022-019,2022-11-29,1,0,,0,0,,,,,,1,,1
29,1,,2022-020,2022-11-29,1,0,,0,0,,,,,,2,,1
30,1,,2022-021,2022-11-29,1,0,,0,0,,,,,,3,,1
31,1,,2022-022,2022-11-29,1,0,,0,0,,,,,,4,,1
32,1,,2022-023,2022-11-29,1,0,,0,0,,,,,,5,,1
33,1,,2022-024,2022-11-29,1,0,,0,0,,,,,,6,,1
34,1,,2022-025,2022-11-29,1,0,,0,0,,,,,,7,,1
35,1,,2022-026,2022-11-29,1,0,,0,0,,,,,,8,,1
36,1,,2022-027,2022-11-29,1,0,,0,0,,,,,,9,,1
37,1,,2022-028,2022-11-29,1,0,,0,0,,,,,,1,,1
38,1,,2022-029,2022-11-29,1,0,,0,0,,,,,,2,,1
39,1,,2022-030,2022-11-29,1,0,,0,0,,,,,,3,,1
40,1,,2022-031,2022-11-29,1,0,,0,0,,,,,,4,,1
41,1,,2022-032,2022-11-29,1,0,,0,0,,,,,,5,,1
42,1,,2022-033,2022-11-29,1,0,,0,0,,,,,,6,,1
43,1,,2022-034,2022-11-29,1,0,,0,0,,,,,,7,,1
44,1,,2022-035,2022-11-29,1,0,,0,0,,,,,,8,,1
45,1,,2022-036,2022-11-29,1,0,,0,0,,,,,,9,,1
46,1,,2022-037,2022-11-29,1,0,,0,0,,,,,,1,,1
47,1,,2022-038,2022-11-29,1,0,,0,0,,,,,,2,,1
48,1,,2022-039,2022-11-29,1,0,,0,0,,,,,,3,,1
49,1,,2022-040,2022-11-29,1,0,,0,0,,,,,,4,,1
50,1,,2022-041,2022-11-29,1,0,,0,0,,,,,,5,,1
51,1,,2022-042,2022-11-29,1,0,,0,0,,,,,,6,,1
52,1,,2022-043,2022-11-29,1,0,,0,0,,,,,,7,,1
53,1,,2022-044,2022-11-29,1,0,,0,0,,,,,,8,,1
54,1,,2022-045,2022-11-29,1,0,,0,0,,,,,,9,,1
55,1,,2022-046,2022-11-29,1,0,,0,0,,,,,,,,1
56,1,,2022-047,2022-11-29,1,0,,0,0,,,,,,,,1
57,1,,2022-048,2022-11-29,1,0,,0,0,,,,,,,,1
58,1,,2022-049,2022-11-29,1,0,,0,0,,,,,,,,1
59,1,,2022-050,2022-11-29,1,0,,0,0,,,,,,,,1
60,1,,2022-051,2022-11-29,1,0,,0,0,,,,,,,,1
61,1,,2022-052,2022-11-29,1,0,,0,0,,,,,,,,1
62,1,,2022-053,2022-11-29,1,0,,0,0,,,,,,,,1
63,1,,2022-054,2022-11-29,1,0,,0,0,,,,,,,,1
64,1,,2022-055,2022-11-29,1,0,,0,0,,,,,,,,1
65,1,,2022-056,2022-11-29,1,0,,0,0,,,,,,,,1
66,1,,2022-057,2022-11-29,1,0,,0,0,,,,,,,,1
67,1,,2022-058,2022-11-29,1,0,,0,0,,,,,,,,1
68,1,,2022-059,2022-11-29,1,0,,0,0,,,,,,,,1
69,1,,2022-060,2022-11-29,1,0,,0,0,,,,,,,,1
70,1,,2022-061,2022-11-29,1,0,,0,0,,,,,,,,1
71,1,,2022-062,2022-11-29,1,0,,0,0,,,,,,,,1
72,1,,2022-063,2022-11-29,1,0,,0,0,,,,,,,,1
73,1,,2022-064,2022-11-29,1,0,,0,0,,,,,,,,1
74,1,,2022-065,2022-11-29,1,0,,0,0,,,,,,,,1
75,1,,2022-066,2022-11-29,1,0,,0,0,,,,,,,,1
76,1,,2022-067,2022-11-29,1,0,,0,0,,,,,,,,1
77,1,,2022-068,2022-11-29,1,0,,0,0,,,,,,,,1
78,1,,2022-069,2022-11-29,1,0,,0,0,,,,,,,,1
79,1,,2022-070,2022-11-29,1,0,,0,0,,,,,,,,1
80,1,,2022-071,2022-11-29,1,0,,0,0,,,,,,,,1
81,1,,2022-072,2022-11-29,1,0,,0,0,,,,,,,,1
82,1,,2022-073,2022-11-29,1,0,,0,0,,,,,,,,1
83,1,,2022-074,2022-11-29,1,0,,0,0,,,,,,,,1
84,1,,2022-075,2022-11-29,1,0,,0,0,,,,,,,,1
85,1,,2022-076,2022-11-29,1,0,,0,0,,,,,,,,1
86,1,,2022-077,2022-11-29,1,0,,0,0,,,,,,,,1
87,1,,2022-078,2022-11-29,1,0,,0,0,,,,,,,,1
88,1,,2022-079,2022-11-29,1,0,,0,0,,,,,,,,1
89,1,,2022-080,2022-11-29,1,0,,0,0,,,,,,,,1
90,1,,2022-081,2022-11-29,1,0,,0,0,,,,,,,,1
91,1,,2022-082,2022-11-29,1,0,,0,0,,,,,,,,1
92,1,,2022-083,2022-11-29,1,0,,0,0,,,,,,,,1
93,1,,2022-084,2022-11-29,1,0,,0,0,,,,,,,,1
94,1,,2022-085,2022-11-29,1,0,,0,0,,,,,,,,1
95,1,,2022-086,2022-11-29,1,0,,0,0,,,,,,,,1
96,1,,2022-087,2022-11-29,1,0,,0,0,,,,,,,,1
97,1,,2022-088,2022-11-29,1,0,,0,0,,,,,,,,1
98,1,,2022-089,2022-11-29,1,0,,0,0,,,,,,,,1
99,1,,2022-090,2022-11-29,1,0,,0,0,,,,,,,,1
100,1,,2022-091,2022-11-29,1,0,,0,0,,,,,,,,1
101,1,,2022-092,2022-11-29,1,0,,0,0,,,,,,,,1
102,1,,2022-093,2022-11-29,1,0,,0,0,,,,,,,,1
103,1,,2022-094,2022-11-29,1,0,,0,0,,,,,,,,1
104,1,,2022-095,2022-11-29,1,0,,0,0,,,,,,,,1
105,1,,2022-096,2022-11-29,1,0,,0,0,,,,,,,,1
106,1,,2022-097,2022-11-29,1,0,,0,0,,,,,,,,1
107,1,,2022-098,2022-11-29,1,0,,0,0,,,,,,,,1
108,1,,2022-099,2022-11-29,1,0,,0,0,,,,,,,,1
109,1,,2022-100,2022-11-29,1,0,,0,0,,,,,,,,1
110,1,,2022-101,2022-11-29,1,0,,0,0,,,,,,,,1
111,1,,2022-102,2022-11-29,1,0,,0,0,,,,,,,,1
112,1,,2022-103,2022-11-29,1,0,,0,0,,,,,,,,1
113,1,,2022-104,2022-11-29,1,0,,0,0,,,,,,,,1
114,1,,2022-105,2022-11-30,1,0,,0,0,,,,,,,,1
115,1,,2022-106,2022-11-30,1,0,,0,0,,,,,,,,1
116,1,,2022-107,2022-11-30,1,0,,0,0,,,,,,,,1
117,1,,2022-108,2022-11-30,1,0,,0,0,,,,,,,,1
118,1,,2022-109,2022-11-30,1,0,,0,0,,,,,,,,1
119,1,,2022-110,2022-11-30,1,0,,0,0,,,,,,,,1
120,1,,2022-111,2022-11-30,1,0,,0,0,,,,,,,,1
121,1,,2022-112,2022-11-30,1,0,,0,0,,,,,,,,1
122,1,,2022-113,2022-11-30,1,0,,0,0,,,,,,,,1
123,1,,2022-114,2022-11-30,1,0,,0,0,,,,,,,,1
124,1,,2022-115,2022-11-30,1,0,,0,0,,,,,,,,1
125,1,,2022-116,2022-11-30,1,0,,0,0,,,,,,,,1
126,1,,2022-117,2022-11-30,1,0,,0,0,,,,,,,,1
127,1,,2022-118,2022-11-30,1,0,,0,0,,,,,,,,1
128,1,,2022-119,2022-11-30,1,0,,0,0,,,,,,,,1
129,1,,2022-120,2022-11-30,1,0,,0,0,,,,,,,,1
130,1,,2022-121,2022-11-30,1,0,,0,0,,,,,,,,1
131,1,,2022-122,2022-11-30,1,0,,0,0,,,,,,,,1
132,1,,2022-123,2022-11-30,1,0,,0,0,,,,,,,,1
133,1,,2022-124,2022-11-30,1,0,,0,0,,,,,,,,1
134,1,,2022-125,2022-11-30,1,0,,0,0,,,,,,,,1
135,1,,2022-126,2022-11-30,1,0,,0,0,,,,,,,,1
136,1,,2022-127,2022-11-30,1,0,,0,0,,,,,,,,1
137,1,,2022-128,2022-11-30,1,0,,0,0,,,,,,,,1
138,1,,2022-129,2022-11-30,1,0,,0,0,,,,,,,,1
139,1,,2022-130,2022-11-30,1,0,,0,0,,,,,,,,1
140,1,,2022-131,2022-11-30,1,0,,0,0,,,,,,,,1
141,1,,2022-132,2022-11-30,1,0,,0,0,,,,,,,,1
142,1,,2022-133,2022-11-30,1,0,,0,0,,,,,,,,1
143,1,,2022-134,2022-11-30,1,0,,0,0,,,,,,,,1
144,1,,2022-135,2022-11-30,1,0,,0,0,,,,,,,,1
145,1,,2022-136,2022-11-30,1,0,,0,0,,,,,,,,1
146,1,,2022-137,2022-11-30,1,0,,0,0,,,,,,,,1
147,1,,2022-138,2022-11-30,1,0,,0,0,,,,,,,,1
148,1,,2022-139,2022-11-30,1,0,,0,0,,,,,,,,1
149,1,,2022-140,2022-11-30,1,0,,0,0,,,,,,,,1
150,1,,2022-141,2022-11-30,1,0,,0,0,,,,,,,,1
151,1,,2022-142,2022-11-30,1,0,,0,0,,,,,,,,1
152,1,,2022-143,2022-11-30,1,0,,0,0,,,,,,,,1
153,1,,2022-144,2022-11-30,1,0,,0,0,,,,,,,,1
154,1,,2022-145,2022-11-30,1,0,,0,0,,,,,,,,1
155,1,,2022-146,2022-11-30,1,0,,0,0,,,,,,,,1
156,1,,2022-147,2022-11-30,1,0,,0,0,,,,,,,,1
157,1,,2022-148,2022-11-30,1,0,,0,0,,,,,,,,1
158,1,,2022-149,2022-11-30,1,0,,0,0,,,,,,,,1
159,1,,2022-150,2022-11-30,1,0,,0,0,,,,,,,,1
160,1,,2022-151,2022-11-30,1,0,,0,0,,,,,,,,1
161,1,,2022-152,2022-11-30,1,0,,0,0,,,,,,,,1
162,1,,2022-153,2022-11-30,1,0,,0,0,,,,,,,,1
163,1,,2022-154,2022-11-30,1,0,,0,0,,,,,,,,1
164,1,,2022-155,2022-11-30,1,0,,0,0,,,,,,,,1
165,1,,2022-156,2022-11-30,1,0,,0,0,,,,,,,,1
166,1,,2022-157,2022-11-30,1,0,,0,0,,,,,,,,1
167,1,,2022-158,2022-11-30,1,0,,0,0,,,,,,,,1
168,1,,2022-159,2022-11-30,1,0,,0,0,,,,,,,,1
169,1,,2022-160,2022-11-30,1,0,,0,0,,,,,,,,1
170,1,,2022-161,2022-11-30,1,0,,0,0,,,,,,,,1
171,1,,2022-162,2022-11-30,1,0,,0,0,,,,,,,,1
172,1,,2022-163,2022-11-30,1,0,,0,0,,,,,,,,1
173,1,,2022-164,2022-11-30,1,0,,0,0,,,,,,,,1
174,1,,2022-165,2022-11-30,1,0,,0,0,,,,,,,,1
175,1,,2022-166,2022-11-30,1,0,,0,0,,,,,,,,1
176,1,,2022-167,2022-11-30,1,0,,0,0,,,,,,,,1
177,1,,2022-168,2022-11-30,1,0,,0,0,,,,,,,,1
178,1,,2022-169,2022-11-30,1,0,,0,0,,,,,,,,1
179,1,,2022-170,2022-11-30,1,0,,0,0,,,,,,,,1
180,1,,2022-171,2022-11-30,1,0,,0,0,,,,,,,,1
181,1,,2022-172,2022-11-30,1,0,,0,0,,,,,,,,1
182,1,,2022-173,2022-11-30,1,0,,0,0,,,,,,,,1
183,1,,2022-174,2022-11-30,1,0,,0,0,,,,,,,,1
184,1,,2022-175,2022-11-30,1,0,,0,0,,,,,,,,1
185,1,,2022-176,2022-11-30,1,0,,0,0,,,,,,,,1
186,1,,2022-177,2022-11-30,1,0,,0,0,,,,,,,,1
187,1,,2022-178,2022-11-30,1,0,,0,0,,,,,,,,1
188,1,,2022-179,2022-11-30,1,0,,0,0,,,,,,,,1
189,1,,2022-180,2022-11-30,1,0,,0,0,,,,,,,,1
190,1,,2022-181,2022-11-30,1,0,,0,0,,,,,,,,1
191,1,,2022-182,2022-11-30,1,0,,0,0,,,,,,,,1
192,1,,2022-183,2022-11-30,1,0,,0,0,,,,,,,,1
193,1,,2022-184,2022-11-30,1,0,,0,0,,,,,,,,1
194,1,,2022-185,2022-11-30,1,0,,0,0,,,,,,,,1
195,1,,2022-186,2022-11-30,1,0,,0,0,,,,,,,,1
196,1,,2022-187,2022-11-30,1,0,,0,0,,,,,,,,1
197,1,,2022-188,2022-11-30,1,0,,0,0,,,,,,,,1
198,1,,2022-189,2022-11-30,1,0,,0,0,,,,,,,,1
199,1,,2022-190,2022-11-30,1,0,,0,0,,,,,,,,1
200,1,,2022-191,2022-11-30,1,0,,0,0,,,,,,,,1
201,1,,2022-192,2022-11-30,1,0,,0,0,,,,,,,,1
202,1,,2022-193,2022-11-30,1,0,,0,0,,,,,,,,1
203,1,,2022-194,2022-11-30,1,0,,0,0,,,,,,,,1
204,1,,2022-195,2022-11-30,1,0,,0,0,,,,,,,,1
205,1,,2022-196,2022-11-30,1,0,,0,0,,,,,,,,1
206,1,,2022-197,2022-11-30,1,0,,0,0,,,,,,,,1
207,1,,2022-198,2022-11-30,1,0,,0,0,,,,,,,,1
208,1,,2022-199,2022-11-30,1,0,,0,0,,,,,,,,1
209,1,,2022-200,2022-11-30,1,0,,0,0,,,,,,,,1
210,1,S202203JIT1234,2022-201,2022-11-30,1,0,,0,0,1,1,1,1,1,1,1,1
211,1,,2022-202,2022-11-30,1,0,,0,0,,,,,,,,1
212,1,,2022-203,2022-11-30,1,0,,0,0,,,,,,,,1
213,1,,2022-204,2022-11-30,1,0,,0,0,,,,,,,,1
214,1,,2022-205,2022-11-30,1,0,,0,0,,,,,,,,1
215,1,,2022-206,2022-11-30,1,0,,0,0,,,,,,,,1
216,1,,2022-207,2022-11-30,1,0,,0,0,,,,,,,,1
217,1,,2022-208,2022-11-30,1,0,,0,0,,,,,,,,1
218,1,,2022-209,2022-11-30,1,0,,0,0,,,,,,,,1
219,1,,2022-210,2022-11-30,1,0,,0,0,,,,,,,,1
220,1,,2022-211,2022-11-30,1,0,,0,0,,,,,,,,1
221,1,,2022-212,2022-11-30,1,0,,0,0,,,,,,,,1
222,1,,2022-213,2022-11-30,1,0,,0,0,,,,,,,,1
223,1,,2022-214,2022-11-30,1,0,,0,0,,,,,,,,1
224,1,,2022-215,2022-11-30,1,0,,0,0,,,,,,,,1
225,1,,2022-216,2022-11-30,1,0,,0,0,,,,,,,,1
226,1,,2022-217,2022-11-30,1,0,,0,0,,,,,,,,1
227,1,,2022-218,2022-11-30,1,0,,0,0,,,,,,,,1
228,1,,2022-219,2022-11-30,1,0,,0,0,,,,,,,,1
229,1,,2022-220,2022-11-30,1,0,,0,0,,,,,,,,1
230,1,,2022-221,2022-11-30,1,0,,0,0,,,,,,,,1
231,1,,2022-222,2022-11-30,1,0,,0,0,,,,,,,,1
232,1,,2022-223,2022-11-30,1,0,,0,0,,,,,,,,1
233,1,,2022-224,2022-11-30,1,0,,0,0,,,,,,,,1
234,1,,2022-225,2022-11-30,1,0,,0,0,,,,,,,,1
235,1,,2022-226,2022-11-30,1,0,,0,0,,,,,,,,1
236,1,,2022-227,2022-11-30,1,0,,0,0,,,,,,,,1
237,1,,2022-228,2022-11-30,1,0,,0,0,,,,,,,,1
238,1,,2022-229,2022-11-30,1,0,,0,0,,,,,,,,1
239,1,,2022-230,2022-11-30,1,0,,0,0,,,,,,,,1
240,1,,2022-231,2022-11-30,1,0,,0,0,,,,,,,,1
241,1,,2022-232,2022-11-30,1,0,,0,0,,,,,,,,1
242,1,,2022-233,2022-11-30,1,0,,0,0,,,,,,,,1
243,1,,2022-234,2022-11-30,1,0,,0,0,,,,,,,,1
244,1,,2022-235,2022-11-30,1,0,,0,0,,,,,,,,1
245,1,,2022-236,2022-11-30,1,0,,0,0,,,,,,,,1
246,1,,2022-237,2022-11-30,1,0,,0,0,,,,,,,,1
